fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,8.6,,1.0,1.17,,,,1,4,1,4,1,,4,1299,4,,,,,,,,,,,,0,,2899,2498,2022-12-05,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.869,0.749,0,,2,1028,0.308,59.9,820,547697,1008,879,21,98,91,2,0.016,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,28,6.6,0,0
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,1888,2,,,,,,,,,,,,0,,4381,3615,2022-12-05,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.778,0.642,0,,0,1391,0.247,0.0,820,547697,1008,879,21,98,91,2,0.016,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,28,6.6,0,0
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.062,other,7.6,,0.91,0.37,,,1.0,1,1,1,4,1,,3,121000,576,,,,884,818,17,,85,85,0,,0,,228226,203319,2022-12-05,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.792,0.706,0,,2,100522,0.349,53.5,820,547697,1008,879,21,98,91,2,0.016,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",28,28,6.6,0,0
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.015,other,27.2,,0.72,0.69,,,,3,0,3,4,0,,4,12380,47,,,,,,,,,,,,0,,13583,12627,2022-12-05,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.739,0.687,0,,3,6494,0.353,190.4,820,547697,1008,879,21,98,91,2,0.016,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,28,6.6,0,0
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,608,2,,,,,,,,,,,,0,,,,2022-12-05,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,0,,,0.0,820,547697,1008,879,21,98,91,2,0.016,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,28,6.6,0,0
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,6.8,,1.0,1.17,,,,1,4,1,4,1,,4,1789,2,,,,,,,,,,,,0,,1376,1164,2022-12-05,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.656,0.555,0,,1,618,0.295,47.7,819,111069,101,70,1,13,7,0,0.008,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",,4,2.7,0,0
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.036,other,1.5,,1.0,1.17,,,,1,1,1,4,1,,4,2194,14,,,,,,,,,,,,0,,2915,2629,2022-12-05,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.593,0.535,0,,1,1290,0.262,10.2,820,547697,1008,879,21,98,91,2,0.016,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,28,6.6,0,0
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.052,other,3.7,,0.65,0.73,,,0.59,1,1,1,4,0,,0,32749,162,,,,101,70,1,,13,7,0,,0,,68720,61765,2022-12-05,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.71,0.638,0,,1,25263,0.261,25.8,819,111069,101,70,1,13,7,0,0.008,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",4,4,2.7,0,0
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,791,1,,,,,,,,,,,,0,,1940,1797,2022-12-05,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.767,0.71,0,,0,1096,0.433,0.0,818,46907,57,40,0,9,3,1,0.0,"Juneau City and Borough, AK - Sitka City and Borough, AK",,5,0.0,0,0
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.073,other,0.0,,,,,,,0,1,0,4,4,,4,0,0,,,,,,,,,,,,0,,1645,1540,2022-12-05,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.766,0.717,0,,1,1033,0.481,0.0,818,46907,57,40,0,9,3,1,0.0,"Juneau City and Borough, AK - Sitka City and Borough, AK",,5,0.0,0,0
02110,US,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.069,other,8.9,,0.78,0.82,,,,1,1,1,4,0,,4,11613,26,,,,57,40,0,,9,3,1,,0,,27785,25422,2022-12-05,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough,0.869,0.795,0,,2,15099,0.472,62.6,818,46907,57,40,0,9,3,1,0.0,"Juneau City and Borough, AK - Sitka City and Borough, AK",5,5,0.0,0,0
02122,US,AK,Kenai Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02122,,58708,0.053,other,6.8,,0.91,0.75,,,0.55,1,1,1,4,1,,0,22059,117,,,,82,49,4,,11,6,1,,0,,32584,29318,2022-12-05,https://covidactnow.org/us/alaska-ak/county/kenai_peninsula_borough,0.555,0.499,0,,1,15189,0.259,47.7,820,547697,1008,879,21,98,91,2,0.016,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",6,28,6.6,0,0
